Jurisdiction,Tenure (En),Category,Species group,Year,Année,Juridiction,Data qualifier,Volume (cubic metres) (En),Volume (cubic metres) (En) Nulls
Quebec,Provincial land,Logs and bolts,Softwoods,1990,1990,Québec,a,13758877,13758877
Quebec,Private land,Logs and bolts,Softwoods,1990,1990,Québec,a,1484700,1484700
Quebec,Provincial land,Logs and bolts,Hardwoods,1990,1990,Québec,a,2114331,2114331
Quebec,Private land,Logs and bolts,Hardwoods,1990,1990,Québec,a,825100,825100
Quebec,Provincial land,Logs and bolts,Unspecified,1990,1990,Québec,u,,
Quebec,Private land,Logs and bolts,Unspecified,1990,1990,Québec,u,,
Quebec,Provincial land,Pulpwood,Softwoods,1990,1990,Québec,a,5178353,5178353
Quebec,Private land,Pulpwood,Softwoods,1990,1990,Québec,a,2435400,2435400
Quebec,Provincial land,Pulpwood,Hardwoods,1990,1990,Québec,a,349935,349935
Quebec,Private land,Pulpwood,Hardwoods,1990,1990,Québec,a,1605300,1605300
Quebec,Provincial land,Pulpwood,Unspecified,1990,1990,Québec,u,,
Quebec,Private land,Pulpwood,Unspecified,1990,1990,Québec,u,,
Quebec,Provincial land,Other industrial roundwood,Softwoods,1990,1990,Québec,a,79922,79922
Quebec,Private land,Other industrial roundwood,Softwoods,1990,1990,Québec,a,1200,1200
Quebec,Provincial land,Other industrial roundwood,Hardwoods,1990,1990,Québec,a,0,
Quebec,Private land,Other industrial roundwood,Hardwoods,1990,1990,Québec,a,1600,1600
Quebec,Provincial land,Other industrial roundwood,Unspecified,1990,1990,Québec,u,,
Quebec,Private land,Other industrial roundwood,Unspecified,1990,1990,Québec,u,,
Quebec,Provincial land,Fuelwood*b and firewood*c,Softwoods,1990,1990,Québec,a,3388,3388
Quebec,Private land,Fuelwood*b and firewood*c,Softwoods,1990,1990,Québec,u,,
Quebec,Provincial land,Fuelwood*b and firewood*c,Hardwoods,1990,1990,Québec,a,55799,55799
Quebec,Private land,Fuelwood*b and firewood*c,Hardwoods,1990,1990,Québec,e,2123000,2123000
Quebec,Provincial land,Fuelwood*b and firewood*c,Unspecified,1990,1990,Québec,u,,
Quebec,Private land,Fuelwood*b and firewood*c,Unspecified,1990,1990,Québec,u,,
Quebec,Federal land,Logs and bolts,Softwoods,1990,1990,Québec,a,45004,45004
Quebec,Federal land,Logs and bolts,Hardwoods,1990,1990,Québec,a,1548,1548
Quebec,Federal land,Logs and bolts,Unspecified,1990,1990,Québec,u,,
Quebec,Federal land,Pulpwood,Softwoods,1990,1990,Québec,a,78500,78500
Quebec,Federal land,Pulpwood,Hardwoods,1990,1990,Québec,a,4500,4500
Quebec,Federal land,Pulpwood,Unspecified,1990,1990,Québec,u,,
Quebec,Federal land,Other industrial roundwood,Softwoods,1990,1990,Québec,a,1248,1248
Quebec,Federal land,Other industrial roundwood,Hardwoods,1990,1990,Québec,a,61,61
Quebec,Federal land,Other industrial roundwood,Unspecified,1990,1990,Québec,u,,
Quebec,Federal land,Fuelwood*b and firewood*c,Softwoods,1990,1990,Québec,u,,
Quebec,Federal land,Fuelwood*b and firewood*c,Hardwoods,1990,1990,Québec,u,,
Quebec,Federal land,Fuelwood*b and firewood*c,Unspecified,1990,1990,Québec,u,,
Quebec,Provincial land,Logs and bolts,Softwoods,1991,1991,Québec,a,13847382,13847382
Quebec,Private land,Logs and bolts,Softwoods,1991,1991,Québec,a,1846200,1846200
Quebec,Provincial land,Logs and bolts,Hardwoods,1991,1991,Québec,a,1947136,1947136
Quebec,Private land,Logs and bolts,Hardwoods,1991,1991,Québec,a,894700,894700
Quebec,Provincial land,Logs and bolts,Unspecified,1991,1991,Québec,u,,
Quebec,Private land,Logs and bolts,Unspecified,1991,1991,Québec,u,,
Quebec,Provincial land,Pulpwood,Softwoods,1991,1991,Québec,a,3353656,3353656
Quebec,Private land,Pulpwood,Softwoods,1991,1991,Québec,a,2507600,2507600
Quebec,Provincial land,Pulpwood,Hardwoods,1991,1991,Québec,a,434447,434447
Quebec,Private land,Pulpwood,Hardwoods,1991,1991,Québec,a,1707700,1707700
Quebec,Provincial land,Pulpwood,Unspecified,1991,1991,Québec,u,,
Quebec,Private land,Pulpwood,Unspecified,1991,1991,Québec,u,,
Quebec,Provincial land,Other industrial roundwood,Softwoods,1991,1991,Québec,a,85448,85448
Quebec,Private land,Other industrial roundwood,Softwoods,1991,1991,Québec,a,12200,12200
Quebec,Provincial land,Other industrial roundwood,Hardwoods,1991,1991,Québec,a,3261,3261
Quebec,Private land,Other industrial roundwood,Hardwoods,1991,1991,Québec,a,600,600
Quebec,Provincial land,Other industrial roundwood,Unspecified,1991,1991,Québec,u,,
Quebec,Private land,Other industrial roundwood,Unspecified,1991,1991,Québec,u,,
Quebec,Provincial land,Fuelwood*b and firewood*c,Softwoods,1991,1991,Québec,a,1408,1408
Quebec,Private land,Fuelwood*b and firewood*c,Softwoods,1991,1991,Québec,u,,
Quebec,Provincial land,Fuelwood*b and firewood*c,Hardwoods,1991,1991,Québec,a,38637,38637
