"Category","Year","Volume (cubic metres) (En) Nulls"
"Logs and bolts",1990,13758877
"Logs and bolts",1990,1484700
"Logs and bolts",1990,2114331
"Logs and bolts",1990,825100
"Pulpwood",1990,5178353
"Pulpwood",1990,2435400
"Pulpwood",1990,349935
"Pulpwood",1990,1605300
"Fuelwood*b and firewood*c",1990,3388
"Fuelwood*b and firewood*c",1990,55799
"Fuelwood*b and firewood*c",1990,2123000
"Logs and bolts",1990,45004
"Logs and bolts",1990,1548
"Pulpwood",1990,78500
"Pulpwood",1990,4500
"Logs and bolts",1991,13847382
"Logs and bolts",1991,1846200
"Logs and bolts",1991,1947136
"Logs and bolts",1991,894700
"Pulpwood",1991,3353656
"Pulpwood",1991,2507600
"Pulpwood",1991,434447
"Pulpwood",1991,1707700
"Fuelwood*b and firewood*c",1991,1408
"Fuelwood*b and firewood*c",1991,38637
"Fuelwood*b and firewood*c",1991,2123000
"Logs and bolts",1991,253
"Pulpwood",1991,112345
"Pulpwood",1991,20703
"Fuelwood*b and firewood*c",1991,6585
"Fuelwood*b and firewood*c",1992,3791
"Fuelwood*b and firewood*c",1993,3964
"Fuelwood*b and firewood*c",1994,5518
"Fuelwood*b and firewood*c",1995,4594
"Fuelwood*b and firewood*c",1996,4586
"Fuelwood*b and firewood*c",1997,7410
"Fuelwood*b and firewood*c",1999,4948
"Fuelwood*b and firewood*c",2001,5419
"Fuelwood*b and firewood*c",2003,3997
"Fuelwood*b and firewood*c",2004,11
"Fuelwood*b and firewood*c",2005,1126
"Fuelwood*b and firewood*c",2006,2708
"Fuelwood*b and firewood*c",2008,4
"Fuelwood*b and firewood*c",2010,2656
"Fuelwood*b and firewood*c",2011,1203
"Fuelwood*b and firewood*c",2012,1107
"Fuelwood*b and firewood*c",2013,1629
"Fuelwood*b and firewood*c",2014,2307
"Fuelwood*b and firewood*c",2015,2310
"Fuelwood*b and firewood*c",2000,3228
"Logs and bolts",1992,6047
"Logs and bolts",1993,9250
"Logs and bolts",1994,879
"Logs and bolts",1995,821
"Logs and bolts",1996,3975
"Logs and bolts",1997,2848
"Logs and bolts",1998,2927
"Logs and bolts",1999,1802
"Logs and bolts",2001,7614
"Logs and bolts",2003,16209
"Logs and bolts",2005,544
"Logs and bolts",2006,1158
"Logs and bolts",2008,758
"Logs and bolts",2009,45
"Logs and bolts",2010,1560
"Logs and bolts",2011,344
"Logs and bolts",2012,153
"Logs and bolts",2013,172
"Logs and bolts",2014,245
"Logs and bolts",2015,245
"Logs and bolts",2016,5092
"Logs and bolts",2000,4779
"Pulpwood",1992,20800
"Pulpwood",1993,3921
"Pulpwood",1994,2770
"Pulpwood",1995,8060
"Pulpwood",1996,24741
"Pulpwood",1997,30005
"Pulpwood",1998,12155
"Pulpwood",1999,28224
"Pulpwood",2001,7751
"Pulpwood",2002,1378
"Pulpwood",2003,14873
"Pulpwood",2005,3937
"Pulpwood",2006,3003
"Pulpwood",2008,3230
"Pulpwood",2009,113
"Pulpwood",2010,1007
"Pulpwood",2011,856
"Pulpwood",2012,58
