x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-69.7,48.15,48.15,-69.7,7048320.2013.01,7048320,Jan,Monthly,QC,2013-01,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.02,7048320,Feb,Monthly,QC,2013-02,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.03,7048320,Mar,Monthly,QC,2013-03,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.04,7048320,Apr,Monthly,QC,2013-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.05,7048320,May,Monthly,QC,2013-05,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.06,7048320,Jun,Monthly,QC,2013-06,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.07,7048320,Jul,Monthly,QC,2013-07,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.08,7048320,Aug,Monthly,QC,2013-08,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.09,7048320,Sep,Monthly,QC,2013-09,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.10,7048320,Oct,Monthly,QC,2013-10,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.11,7048320,Nov,Monthly,QC,2013-11,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2013.12,7048320,Dec,Monthly,QC,2013-12,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.01,7048320,Jan,Monthly,QC,2014-01,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.02,7048320,Feb,Monthly,QC,2014-02,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.03,7048320,Mar,Monthly,QC,2014-03,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.04,7048320,Apr,Monthly,QC,2014-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.05,7048320,May,Monthly,QC,2014-05,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.06,7048320,Jun,Monthly,QC,2014-06,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.07,7048320,Jul,Monthly,QC,2014-07,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.08,7048320,Aug,Monthly,QC,2014-08,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.09,7048320,Sep,Monthly,QC,2014-09,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.10,7048320,Oct,Monthly,QC,2014-10,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.11,7048320,Nov,Monthly,QC,2014-11,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2014.12,7048320,Dec,Monthly,QC,2014-12,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2015.01,7048320,Jan,Monthly,QC,2015-01,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2015.02,7048320,Feb,Monthly,QC,2015-02,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2015.03,7048320,Mar,Monthly,QC,2015-03,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2015.04,7048320,Apr,Monthly,QC,2015-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-69.7,48.15,48.15,-69.7,7048320.2015.05,7048320,May,Monthly,QC,2015-05,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
